b1,b2,b3,b4,b5,r1,r2,r3,r4,r5,Win
54,9,55,145,267,897,427,39,96,117,1
777,421,18,45,40,84,35,99,145,526,0
114,91,517,81,350,39,234,103,145,432,0
39,104,79,119,1,777,35,38,67,432,1
114,5,245,115,555,85,113,39,221,432,1
157,131,61,145,526,266,113,84,498,37,0
58,28,145,81,497,41,200,103,498,111,0
150,64,61,221,16,58,254,42,498,497,0
68,11,39,145,12,54,35,518,498,497,1
68,11,238,145,53,887,121,126,15,235,0
150,154,84,18,111,126,121,27,145,12,1
41,245,18,895,16,126,64,711,67,235,0
19,526,91,235,157,96,102,126,30,12,1
897,427,517,145,497,58,35,84,498,127,0
58,141,61,895,111,777,104,18,51,497,1
107,203,517,145,43,58,526,126,81,37,1
897,57,126,115,555,85,56,517,53,81,1
23,76,134,145,497,54,59,268,360,111,0
84,59,777,221,117,58,11,7,145,497,1
777,9,221,246,37,517,200,166,67,555,0
122,64,145,10,497,98,141,61,498,16,0
120,268,24,111,145,54,102,115,221,350,1
99,62,134,145,897,27,120,61,498,497,1
240,526,711,221,12,58,64,50,119,111,1
67,59,8,147,267,164,64,1,498,53,1
126,20,4,119,432,266,141,7,67,1,1
58,64,61,96,40,92,59,112,145,16,0
54,141,7,22,147,200,59,163,145,16,1
126,59,163,221,43,897,64,134,15,497,0
266,35,134,145,111,23,68,126,498,526,0
126,427,55,236,235,166,64,154,145,43,0
150,200,517,221,497,122,64,245,18,12,1
84,245,268,236,267,246,141,99,81,526,1
54,120,103,15,497,266,68,7,67,555,1
41,64,127,81,40,902,76,18,145,157,0
58,120,245,81,101,150,57,55,21,111,1
41,64,18,45,50,133,59,91,145,16,0
58,30,157,15,117,24,876,80,145,111,0
150,234,711,67,235,41,64,55,221,43,1
58,64,61,115,526,266,56,103,69,17,0
98,56,157,101,498,114,35,136,145,12,1
50,141,157,498,497,92,64,16,221,412,1
122,59,55,429,40,84,526,157,145,497,1
80,28,517,221,235,122,203,157,81,432,1
58,28,27,895,888,69,113,126,157,497,1
777,64,112,157,526,240,91,238,221,143,0
157,9,79,22,902,164,517,238,523,235,1
111,59,145,58,39,110,43,154,238,54,1
30,110,37,28,897,112,147,101,202,164,0
111,127,57,777,67,221,117,131,238,517,1
154,81,777,267,82,126,78,268,498,111,0
127,24,56,498,497,154,81,777,267,134,1
245,15,117,238,58,27,127,141,145,350,0
106,113,111,145,90,245,29,117,777,897,1
887,64,133,51,111,98,56,498,7,412,1
19,59,112,81,12,96,141,157,222,37,1
157,35,268,21,267,96,59,103,67,117,0
78,91,103,67,16,157,234,112,145,902,0
126,64,7,221,497,133,76,157,81,111,0
41,64,127,81,40,902,76,18,145,157,0
11,133,131,54,147,235,112,30,555,266,0
161,236,201,84,7,40,117,110,68,157,1
517,143,13,166,80,20,28,105,150,10,0
43,236,20,555,113,74,119,102,82,12,1
102,950,134,29,33,221,203,86,110,432,0
142,43,38,163,92,516,112,238,45,35,1
166,98,142,888,35,238,61,85,555,222,1
238,99,950,68,497,526,21,133,25,53,0
28,25,40,37,221,10,59,7,63,101,0
72,222,30,498,497,45,79,55,105,157,1
21,29,876,432,64,236,523,222,106,429,0
22,89,26,136,202,61,56,163,41,222,1
13,75,26,122,60,14,62,11,523,7,0
19,234,518,145,111,2,59,103,221,12,1
13,141,134,145,127,78,163,18,895,89,1
79,104,164,498,432,24,113,39,145,111,1
42,234,518,895,111,14,78,711,221,117,0
54,245,950,498,497,266,234,163,145,555,0
518,30,266,145,16,164,20,950,221,12,1
897,30,16,498,111,50,91,103,360,53,0
17,121,517,145,432,126,56,13,221,111,1
85,234,166,81,40,126,59,103,221,555,0
84,887,518,110,43,126,245,268,360,526,1
58,28,39,15,99,24,203,517,145,111,1
41,64,518,81,43,126,30,86,222,412,1
517,28,897,119,111,114,163,69,236,12,1
58,121,115,222,432,150,30,39,202,111,0
85,48,81,134,43,126,78,7,51,267,0
2,163,18,145,497,24,79,103,22,37,1
58,876,90,145,44,78,200,163,221,497,0
114,234,26,29,412,85,141,142,81,888,1
24,154,84,81,43,58,56,34,145,12,1
22,76,126,67,92,85,28,157,145,497,0
24,120,163,157,111,92,141,517,119,526,1
58,154,238,81,43,266,163,61,221,111,0
58,64,38,21,89,266,200,55,115,16,0
114,427,38,81,43,24,28,245,498,902,0
126,76,99,145,555,58,5,163,119,526,0
126,141,103,523,267,38,28,897,67,43,0
133,9,61,145,111,266,64,99,81,267,1
24,131,84,157,111,106,887,166,29,875,1
897,28,777,119,12,92,887,166,147,555,1
36,104,7,221,43,126,421,711,145,111,1
126,887,80,498,526,111,64,517,145,164,1
150,121,38,895,16,777,887,126,145,412,0
164,30,34,145,22,58,163,38,81,37,0
266,64,103,145,89,887,120,238,81,35,1
92,121,55,145,235,126,91,8,498,37,0
69,120,103,221,16,25,526,517,157,44,1
58,64,268,147,44,67,76,266,221,350,0
107,163,246,147,235,150,30,266,523,40,0
126,64,517,523,37,58,104,84,222,16,0
107,203,517,145,43,58,526,126,81,37,1
86,64,142,202,101,122,126,45,81,43,0
897,104,238,81,53,875,64,142,115,111,1
887,35,246,18,497,80,64,897,22,555,1
24,78,246,4,555,238,876,54,67,267,0
2,64,518,360,74,134,15,127,76,112,1
164,11,517,222,53,58,113,84,15,526,1
83,64,105,360,526,58,78,99,22,37,0
234,104,55,268,16,21,267,126,29,350,0
163,24,38,412,105,238,127,84,96,42,1
897,59,238,498,99,117,120,126,145,43,0
238,28,164,221,497,166,59,122,119,555,1
122,32,238,498,12,150,245,91,145,412,0
24,78,246,4,555,238,876,54,67,267,0
14,68,18,145,555,92,28,238,115,432,1
39,120,777,145,16,238,11,711,115,35,1
54,78,112,145,555,82,64,238,119,74,1
34,56,238,81,497,96,59,103,119,555,0
164,427,777,67,12,238,200,517,96,117,1
92,5,134,145,43,106,28,18,221,526,0
24,876,238,67,43,85,56,23,81,555,1
23,238,103,45,37,24,121,136,145,526,0
98,234,61,221,117,238,28,7,110,74,1
126,28,238,498,12,39,76,127,145,111,0
166,35,142,221,57,238,163,39,777,117,0
58,245,518,221,40,238,64,147,67,267,0
164,60,154,22,37,58,28,238,81,43,1
164,254,268,145,143,238,126,112,523,101,0
126,5,163,81,412,2,64,136,202,526,1
164,163,136,67,44,39,421,30,221,117,0
246,76,517,498,526,58,121,136,81,101,0
17,121,91,15,43,85,59,4,221,412,1
114,20,136,498,201,54,163,777,119,267,1
126,421,136,145,111,516,64,163,15,40,1
58,121,136,498,497,67,64,134,145,111,1
777,64,103,145,111,133,518,136,235,157,1
164,203,711,221,117,157,76,55,67,40,0
420,28,950,222,902,35,121,136,518,25,0
84,64,157,41,9,4,76,99,145,235,0
58,64,136,221,16,2,245,55,498,497,0
136,9,68,221,35,164,121,163,15,16,1
133,56,103,81,497,20,39,136,498,111,0
24,57,238,81,40,78,59,136,115,235,1
78,121,136,22,147,58,163,91,81,43,0
58,60,18,136,526,96,28,126,498,12,0
24,238,136,145,40,85,78,164,221,43,1
133,11,7,81,350,516,141,18,136,40,1
875,104,30,81,526,777,59,136,523,555,1
150,56,1,236,526,10,887,126,221,44,0
85,234,166,81,40,126,59,103,221,555,0
420,200,34,45,267,246,203,81,268,12,1
23,64,163,145,89,84,5,147,157,40,0
777,141,103,497,498,98,76,126,221,117,0
150,200,103,81,43,166,5,897,45,111,1
166,33,103,145,142,69,163,126,81,497,0
246,64,134,22,412,127,163,75,81,526,1
27,28,126,236,37,92,60,238,221,432,0
114,427,84,221,12,58,104,517,15,16,1
84,145,238,5,412,23,526,136,81,267,0
68,203,126,147,12,23,60,18,221,111,0
68,141,103,67,44,41,35,134,22,497,0
412,61,81,518,59,15,131,126,43,30,0
950,55,53,67,22,555,31,102,63,21,1
164,19,103,22,111,58,11,134,30,267,0
897,76,38,145,111,266,200,163,157,12,0
126,33,163,22,526,54,203,51,145,147,1
57,76,101,145,497,2,427,126,498,111,0
268,427,58,202,99,41,56,157,518,53,0
92,30,91,45,235,887,203,240,145,111,1
27,200,238,221,37,58,245,42,8,111,0
84,145,238,5,412,23,526,136,81,267,0
68,35,38,29,497,23,200,105,81,43,0
58,76,4,498,497,84,64,91,145,111,1
122,131,4,221,12,67,517,777,29,267,0
79,91,238,69,235,164,526,115,18,89,1
112,120,157,221,555,114,91,84,15,63,0
69,200,103,221,89,122,59,91,145,127,1
777,121,105,22,75,24,876,950,498,37,0
122,79,91,145,497,58,11,127,498,37,0
516,35,157,99,497,82,57,238,221,350,0
517,91,950,145,25,24,30,79,29,37,0
887,35,777,81,16,266,200,105,15,37,0
157,59,27,29,555,84,141,238,67,43,0
266,11,84,81,44,24,79,157,67,555,0
122,203,101,67,117,55,238,875,221,53,1
516,200,29,498,412,106,91,127,81,143,0
106,245,90,221,888,10,131,777,360,432,0
897,59,105,498,526,54,141,163,145,37,0
39,28,518,145,16,10,35,38,221,43,1
23,203,134,145,111,27,76,18,81,43,1
92,11,90,51,37,78,121,103,81,432,0
234,58,68,81,26,266,518,950,145,497,1
6,163,18,81,43,58,64,115,221,111,1
122,203,61,221,103,10,234,163,51,111,1
897,59,238,498,99,117,120,126,145,43,0
240,56,517,523,16,92,120,103,30,80,1
106,64,18,15,43,58,59,38,81,350,0
134,141,54,895,37,114,163,84,29,12,0
41,28,1,498,526,23,421,103,145,111,0
266,245,887,119,497,240,91,84,81,43,0
19,234,55,236,902,2,64,112,145,43,1
23,113,84,96,267,897,200,157,115,43,1
777,517,157,96,43,126,76,18,51,117,0
126,30,18,51,25,54,64,61,119,555,0
897,59,61,498,526,58,121,147,238,43,1
41,59,61,96,12,24,163,777,115,111,0
84,77,103,22,16,24,234,105,81,43,1
55,113,58,81,43,24,64,777,115,235,0
78,245,126,498,12,897,59,68,523,526,0
157,526,134,523,16,876,121,61,96,117,1
133,131,777,119,40,58,120,84,22,432,1
2,163,711,221,40,78,11,34,523,350,1
17,876,18,236,267,48,5,27,221,117,0
39,427,136,498,111,92,163,134,523,43,1
777,59,38,523,526,96,77,126,221,201,0
114,154,777,221,12,266,11,517,119,16,0
114,120,7,221,350,897,35,103,498,555,1
19,59,7,222,412,106,76,777,523,40,1
58,76,99,523,267,85,59,8,67,16,1
41,64,105,498,267,126,56,142,236,37,0
69,76,134,523,57,68,517,59,221,555,1
950,5,112,523,16,420,30,147,81,111,0
39,121,103,498,12,23,517,11,221,147,0
897,59,4,221,497,887,254,134,119,127,1
114,245,711,523,111,85,200,133,81,235,1
68,64,246,67,40,122,77,61,523,235,1
58,78,221,103,16,23,59,55,96,902,0
240,30,38,22,12,122,18,141,523,111,1
266,163,157,202,40,240,35,92,119,267,0
43,67,103,427,875,82,421,23,99,40,0
98,157,63,32,67,121,267,82,166,99,0
412,20,98,268,81,99,143,240,147,234,0
143,16,147,875,120,81,20,526,711,75,0
240,28,136,147,16,163,76,1,777,235,1
240,76,105,147,267,106,28,895,517,412,0
